#Query	BLAST hit 1
ENSEBLP00000002056.1	 RpL7-like-PC 
ENSEBLP00000002072.1	 RpL7-like-PC 
ENSEBLP00000002097.1	 SLO2-PN 
ENSEBLP00000002115.1	 CG15098-PA 
ENSEBLP00000002138.1	  
ENSEBLP00000002144.1	 CG13361-PA 
ENSEBLP00000002159.1	 His1:CG33801-PA 
ENSEBLP00000002163.1	  
ENSEBLP00000002178.1	  
ENSEBLP00000002187.1	  
ENSEBLP00000002196.1	 CG8060-PA 
ENSEBLP00000002203.1	 CG42284-PE 
ENSEBLP00000002205.1	 ETH-PA 
ENSEBLP00000002212.1	  
ENSEBLP00000002216.1	  
ENSEBLP00000002223.1	 CG42284-PD 
ENSEBLP00000002229.1	 CG30274-PA 
ENSEBLP00000002234.1	 CG42284-PD 
ENSEBLP00000002238.1	 CG42284-PD 
ENSEBLP00000002244.1	 TM9SF4-PB 
ENSEBLP00000002245.1	 CG42284-PD 
ENSEBLP00000002254.1	 TM9SF4-PB 
ENSEBLP00000002257.1	 CG42284-PE 
ENSEBLP00000002269.1	 Uvrag-PB 
ENSEBLP00000002274.1	  
ENSEBLP00000002291.1	 squ-PC 
ENSEBLP00000002294.1	 CG7492-PA 
ENSEBLP00000002307.1	  
ENSEBLP00000002326.1	 CG12769-PC 
ENSEBLP00000002333.1	 Camp-PB 
ENSEBLP00000002338.1	 CG12769-PC 
ENSEBLP00000002339.1	 Camp-PB 
ENSEBLP00000002341.1	 CG12769-PC 
ENSEBLP00000002349.1	 CG12769-PC 
ENSEBLP00000002366.1	  
ENSEBLP00000002378.1	  
ENSEBLP00000002379.1	 Col4a1-PA 
ENSEBLP00000002386.1	 Col4a1-PA 
ENSEBLP00000002403.1	 CG16713-PA 
ENSEBLP00000002410.1	 CCHa1-R-PA 
ENSEBLP00000002418.1	 CG10435-PA 
ENSEBLP00000002420.1	 CCHa1-R-PA 
ENSEBLP00000002430.1	 CCHa1-R-PA 
ENSEBLP00000002440.1	 CCHa1-R-PA 
ENSEBLP00000002459.1	  
ENSEBLP00000002466.1	 Vps13-PB 
ENSEBLP00000002476.1	  
ENSEBLP00000002491.1	 DnaJ-H-PA 
ENSEBLP00000002496.1	 CG2076-PB 
ENSEBLP00000002504.1	 CG2076-PB 
ENSEBLP00000002507.1	 CG6051-PC 
ENSEBLP00000002527.1	 CG4612-PC 
ENSEBLP00000002545.1	  
ENSEBLP00000002549.1	 hts-PJ 
ENSEBLP00000002561.1	 hts-PN 
ENSEBLP00000002565.1	  
ENSEBLP00000002570.1	 hts-PN 
ENSEBLP00000002583.1	 Ugt37C2-PB 
ENSEBLP00000002584.1	 hts-PN 
ENSEBLP00000002597.1	  
ENSEBLP00000002608.1	 chk-PC 
ENSEBLP00000002615.1	 chk-PC 
ENSEBLP00000002624.1	 chk-PC 
ENSEBLP00000002629.1	 Cyt-b5-r-PB 
ENSEBLP00000002635.1	 Cyt-b5-r-PB 
ENSEBLP00000002643.1	 inv-PE 
ENSEBLP00000002646.1	 Cyt-b5-r-PB 
ENSEBLP00000002663.1	 GstE7-PA 
ENSEBLP00000002678.1	 Tep2-PB 
ENSEBLP00000002681.1	 CG13151-PA 
ENSEBLP00000002703.1	  
ENSEBLP00000002717.1	 Tdc2-PA 
ENSEBLP00000002724.1	 Tdc2-PA 
ENSEBLP00000002727.1	  
ENSEBLP00000002743.1	  
ENSEBLP00000002744.1	  
ENSEBLP00000002758.1	  
ENSEBLP00000002765.1	 Hasp-PC 
ENSEBLP00000002774.1	 Hasp-PA 
ENSEBLP00000002781.1	 CG13344-PA 
ENSEBLP00000002785.1	  
ENSEBLP00000002788.1	 CG13344-PA 
ENSEBLP00000002804.1	  
ENSEBLP00000002807.1	 CG17292-PD 
ENSEBLP00000002821.1	 Hil-PA 
ENSEBLP00000002828.1	 Pde1c-PC 
ENSEBLP00000002840.1	  
ENSEBLP00000002841.1	 Pde1c-PC 
ENSEBLP00000002861.1	 alpha4GT1-PA 
ENSEBLP00000002871.1	  
ENSEBLP00000002879.1	  
ENSEBLP00000002892.1	 IntS9-PA 
ENSEBLP00000002899.1	  
ENSEBLP00000002901.1	 fwd-PD 
ENSEBLP00000002909.1	 IntS9-PA 
ENSEBLP00000002935.1	 kcc-PC 
ENSEBLP00000002941.1	 kcc-PC 
ENSEBLP00000002949.1	 SCAR-PE 
ENSEBLP00000002952.1	 SCAR-PE 
ENSEBLP00000002954.1	 kcc-PG 
ENSEBLP00000002961.1	 SCAR-PE 
ENSEBLP00000002965.1	 SCAR-PE 
ENSEBLP00000002969.1	 Or13a-PA 
ENSEBLP00000002980.1	  
ENSEBLP00000002990.1	 mbm-PA 
ENSEBLP00000002995.1	  
ENSEBLP00000003015.1	  
ENSEBLP00000003022.1	  
ENSEBLP00000003036.1	 CG31937-PA 
ENSEBLP00000003055.1	 CG8192-PA 
ENSEBLP00000003063.1	 CarT-PC 
ENSEBLP00000003064.1	 CG8192-PA 
ENSEBLP00000003066.1	 CG8192-PA 
ENSEBLP00000003074.1	 CarT-PC 
ENSEBLP00000003076.1	 CG8192-PA 
ENSEBLP00000003092.1	 NtR-PB 
ENSEBLP00000003110.1	 CG34313-PA 
ENSEBLP00000003112.1	 CG11911-PA 
ENSEBLP00000003119.1	 CG31743-PB 
ENSEBLP00000003124.1	 CG11911-PA 
ENSEBLP00000003131.1	 CG31743-PB 
ENSEBLP00000003142.1	 CG31743-PB 
ENSEBLP00000003154.1	 CG34386-PD 
ENSEBLP00000003160.1	 CG34386-PD 
ENSEBLP00000003166.1	 CG11504-PC 
ENSEBLP00000003171.1	 CG34386-PD 
ENSEBLP00000003176.1	 CG11504-PC 
ENSEBLP00000003186.1	  
ENSEBLP00000003192.1	 Rai1-PA 
ENSEBLP00000003197.1	 CG46466-PC 
ENSEBLP00000003211.1	 slp1-PA 
ENSEBLP00000003213.1	  
ENSEBLP00000003227.1	  
ENSEBLP00000003229.1	 CG10973-PB 
ENSEBLP00000003236.1	 CG10973-PB 
ENSEBLP00000003247.1	 Ir7b-PB 
ENSEBLP00000003263.1	 CG18870-PB 
ENSEBLP00000003276.1	 CG18870-PB 
ENSEBLP00000003277.1	 RalGPS-PB 
ENSEBLP00000003290.1	 RalGPS-PF 
ENSEBLP00000003302.1	  
ENSEBLP00000003308.1	 CG8301-PA 
ENSEBLP00000003315.1	 CG8301-PA 
ENSEBLP00000003323.1	 CG8301-PA 
ENSEBLP00000003338.1	 CG12942-PA 
ENSEBLP00000003353.1	 ocm-PC 
ENSEBLP00000003364.1	 nAChRbeta3-PA 
ENSEBLP00000003365.1	 ocm-PC 
ENSEBLP00000003376.1	 nAChRbeta3-PA 
ENSEBLP00000003379.1	 ocm-PC 
ENSEBLP00000003383.1	 ocm-PC 
ENSEBLP00000003389.1	 ocm-PC 
ENSEBLP00000003394.1	  
ENSEBLP00000003402.1	  
ENSEBLP00000003410.1	  
ENSEBLP00000003416.1	  
ENSEBLP00000003428.1	  
ENSEBLP00000003450.1	 Mlh1-PA 
