#Query	BLAST hit 1
ENSEBLP00005007605.1	CG4119-PB 
ENSEBLP00005007618.1	CG4119-PB 
ENSEBLP00005007622.1	CG4119-PB 
ENSEBLP00005007631.1	CG4119-PB 
ENSEBLP00005007638.1	CG4119-PB 
ENSEBLP00005007652.1	rho-4-PB 
ENSEBLP00005007679.1	LRP1-PF 
ENSEBLP00005007685.1	LRP1-PG 
ENSEBLP00005007723.1	grass-PB 
ENSEBLP00005007733.1	Cdc45-PA 
ENSEBLP00005007776.1	CG15601-PD 
ENSEBLP00005007790.1	baz-PB 
ENSEBLP00005007804.1	baz-PB 
ENSEBLP00005007808.1	baz-PB 
ENSEBLP00005007812.1	baz-PB 
ENSEBLP00005007816.1	baz-PC 
ENSEBLP00005007841.1	CG6654-PA 
ENSEBLP00005007851.1	CG6654-PA 
ENSEBLP00005007857.1	CG6654-PA 
ENSEBLP00005007867.1	brwl-PB 
ENSEBLP00005007873.1	CG4404-PA 
ENSEBLP00005007902.1	Rbf-PA 
ENSEBLP00005007910.1	Rbf-PA 
ENSEBLP00005007928.1	CG1785-PA 
ENSEBLP00005007956.1	RhoGAP18B-PD 
ENSEBLP00005007962.1	RhoGAP18B-PD 
ENSEBLP00005007968.1	RhoGAP18B-PD 
ENSEBLP00005008008.1	Ubc7-PB 
ENSEBLP00005008028.1	Bgb-PA 
ENSEBLP00005008061.1	snz-PB 
ENSEBLP00005008069.1	snz-PB 
ENSEBLP00005008078.1	snz-PB 
ENSEBLP00005008111.1	Ctl2-PC 
ENSEBLP00005008119.1	Ctl2-PC 
ENSEBLP00005008129.1	Ctl2-PC 
ENSEBLP00005008136.1	Ctl2-PC 
ENSEBLP00005008144.1	Ctl2-PC 
ENSEBLP00005008151.1	Ctl2-PC 
ENSEBLP00005008155.1	ERp44-PA 
ENSEBLP00005008163.1	ERp44-PA 
ENSEBLP00005008172.1	Ubqn-PB 
ENSEBLP00005008173.1	CG14223-PC 
ENSEBLP00005008179.1	CG14223-PC 
ENSEBLP00005008187.1	CG14223-PC 
ENSEBLP00005008189.1	dwg-PA 
ENSEBLP00005008197.1	CG14223-PC 
ENSEBLP00005008214.1	Tango4-PA 
ENSEBLP00005008221.1	Tango4-PA 
ENSEBLP00005008225.1	acj6-PG 
ENSEBLP00005008231.1	acj6-PG 
ENSEBLP00005008238.1	opm-PA 
ENSEBLP00005008239.1	acj6-PN 
ENSEBLP00005008247.1	acj6-PN 
ENSEBLP00005008248.1	opm-PA 
ENSEBLP00005008255.1	acj6-PL 
ENSEBLP00005008277.1	CycB3-PB 
ENSEBLP00005008281.1	CycB3-PB 
ENSEBLP00005008285.1	Art1-PA 
ENSEBLP00005008288.1	CycB3-PB 
ENSEBLP00005008298.1	CycB3-PB 
ENSEBLP00005008303.1	CycB3-PB 
ENSEBLP00005008323.1	CG15916-PA 
ENSEBLP00005008326.1	CG15916-PA 
ENSEBLP00005008336.1	CG15916-PA 
ENSEBLP00005008339.1	NetA-PB 
ENSEBLP00005008342.1	CG15916-PA 
ENSEBLP00005008347.1	NetA-PB 
ENSEBLP00005008357.1	NetA-PC 
ENSEBLP00005008360.1	CG9281-PD 
ENSEBLP00005008366.1	NetA-PC 
ENSEBLP00005008370.1	NetA-PC 
ENSEBLP00005008391.1	Tis11-PD 
ENSEBLP00005008394.1	CDK2AP1-PA 
ENSEBLP00005008399.1	Tis11-PD 
ENSEBLP00005008405.1	Tis11-PD 
ENSEBLP00005008411.1	Tis11-PD 
ENSEBLP00005008415.1	SdicB-PA 
ENSEBLP00005008417.1	Tis11-PD 
ENSEBLP00005008430.1	Pex16-PA 
ENSEBLP00005008459.1	Smr-PF 
ENSEBLP00005008466.1	Smr-PF 
ENSEBLP00005008472.1	Smr-PF 
ENSEBLP00005008479.1	Smr-PF 
ENSEBLP00005008481.1	Nup205-PB 
ENSEBLP00005008496.1	Ldsdh1-PA 
ENSEBLP00005008498.1	Nup205-PB 
ENSEBLP00005008505.1	Ldsdh1-PA 
ENSEBLP00005008525.1	p120ctn-PA 
ENSEBLP00005008526.1	Gga-PB 
ENSEBLP00005008532.1	p120ctn-PA 
ENSEBLP00005008551.1	CG5321-PC 
ENSEBLP00005008560.1	meso18E-PD 
ENSEBLP00005008567.1	meso18E-PD 
ENSEBLP00005008571.1	meso18E-PD 
ENSEBLP00005008604.1	AP-1-2beta-PA 
ENSEBLP00005008610.1	AP-1-2beta-PA 
ENSEBLP00005008611.1	SNRPG-PB 
ENSEBLP00005008618.1	AP-1-2beta-PA 
ENSEBLP00005008626.1	AP-1-2beta-PA 
ENSEBLP00005008634.1	Trf4-1-PJ 
ENSEBLP00005008640.1	Arts-PC 
ENSEBLP00005008641.1	Trf4-1-PJ 
ENSEBLP00005008658.1	CG5909-PA 
ENSEBLP00005008664.1	CG15760-PC 
ENSEBLP00005008665.1	CG5909-PA 
ENSEBLP00005008668.1	CG15760-PC 
ENSEBLP00005008672.1	CG15760-PC 
ENSEBLP00005008695.1	CG4615-PA 
ENSEBLP00005008703.1	CG4615-PA 
ENSEBLP00005008704.1	f-PC 
ENSEBLP00005008716.1	f-PJ 
ENSEBLP00005008726.1	f-PI 
ENSEBLP00005008736.1	f-PJ 
ENSEBLP00005008740.1	Or2a-PA 
ENSEBLP00005008746.1	Or2a-PA 
ENSEBLP00005008753.1	CG8945-PC 
ENSEBLP00005008763.1	beag-PA 
ENSEBLP00005008769.1	beag-PA 
ENSEBLP00005008772.1	mtDNA-helicase-PA 
ENSEBLP00005008780.1	mtDNA-helicase-PA 
ENSEBLP00005008793.1	Mt2-PD 
ENSEBLP00005008802.1	dtn-PC 
ENSEBLP00005008812.1	dtn-PE 
ENSEBLP00005008814.1	Cdc50-PA 
ENSEBLP00005008823.1	dtn-PC 
ENSEBLP00005008832.1	grass-PB 
ENSEBLP00005008845.1	zld-PG 
ENSEBLP00005008853.1	zld-PD 
ENSEBLP00005008873.1	Miga-PC 
ENSEBLP00005008882.1	Miga-PC 
ENSEBLP00005008891.1	Miga-PC 
ENSEBLP00005008903.1	Rbcn-3A-PB 
ENSEBLP00005008909.1	nod-PB 
ENSEBLP00005008915.1	Rbcn-3A-PB 
ENSEBLP00005008921.1	CG7872-PA 
ENSEBLP00005008923.1	Rbcn-3A-PB 
ENSEBLP00005008933.1	CG1637-PC 
ENSEBLP00005008952.1	CG1637-PD 
ENSEBLP00005008954.1	CG8675-PA 
ENSEBLP00005008958.1	CG1637-PB 
ENSEBLP00005008969.1	CG1637-PB 
ENSEBLP00005008971.1	CG1572-PD 
ENSEBLP00005008984.1	CG2202-PA 
ENSEBLP00005008989.1	CG7772-PA 
ENSEBLP00005009004.1	Spg7-PC 
ENSEBLP00005009005.1	sog-PB 
ENSEBLP00005009014.1	sog-PB 
ENSEBLP00005009015.1	Spg7-PC 
ENSEBLP00005009035.1	parvin-PB 
ENSEBLP00005009040.1	parvin-PB 
ENSEBLP00005009043.1	wnd-PC 
ENSEBLP00005009053.1	wnd-PC 
ENSEBLP00005009068.1	wnd-PC 
ENSEBLP00005009085.1	f-PH 
ENSEBLP00005009091.1	f-PH 
ENSEBLP00005009097.1	f-PH 
ENSEBLP00005009106.1	Sdic1-PC 
ENSEBLP00005009121.1	Sdic2-PC 
ENSEBLP00005009125.1	CG12065-PB 
ENSEBLP00005009133.1	CG12065-PF 
ENSEBLP00005009139.1	CG12065-PB 
ENSEBLP00005009146.1	Mer-PB 
ENSEBLP00005009151.1	Mer-PB 
ENSEBLP00005009158.1	Mer-PB 
ENSEBLP00005009187.1	GstT4-PA 
ENSEBLP00005009198.1	GstT4-PA 
ENSEBLP00005009202.1	Axs-PA 
ENSEBLP00005009203.1	GstT4-PA 
ENSEBLP00005009217.1	mRpL16-PB 
ENSEBLP00005009221.1	CG17486-PB 
ENSEBLP00005009225.1	CG17486-PB 
ENSEBLP00005009239.1	CG15865-PA 
ENSEBLP00005009246.1	CG15865-PA 
ENSEBLP00005009254.1	CG15312-PD 
ENSEBLP00005009263.1	CG15312-PD 
ENSEBLP00005009270.1	CG15312-PF 
ENSEBLP00005009271.1	Nnp-1-PA 
ENSEBLP00005009275.1	CG15312-PD 
ENSEBLP00005009281.1	Nnp-1-PA 
ENSEBLP00005009289.1	Kap3-PF 
ENSEBLP00005009292.1	Slc25A46a-PA 
ENSEBLP00005009300.1	Slc25A46a-PA 
ENSEBLP00005009306.1	bdwf-PA 
ENSEBLP00005009311.1	Rab18-PA 
ENSEBLP00005009314.1	bdwf-PA 
ENSEBLP00005009328.1	Pbgs-PB 
ENSEBLP00005009329.1	CG15239-PA 
ENSEBLP00005009348.1	Chc-PG 
ENSEBLP00005009385.1	CG14232-PB 
ENSEBLP00005009403.1	CG14229-PB 
ENSEBLP00005009409.1	CG14229-PB 
ENSEBLP00005009428.1	l(3)neo38-PJ 
ENSEBLP00005009433.1	l(3)neo38-PJ 
ENSEBLP00005009476.1	CG2256-PC 
ENSEBLP00005009481.1	CG2256-PC 
ENSEBLP00005009487.1	CG2256-PC 
ENSEBLP00005009497.1	CG15601-PA 
ENSEBLP00005009548.1	PGAP1-PA 
ENSEBLP00005009560.1	PGAP1-PA 
ENSEBLP00005009598.1	cv-PC 
ENSEBLP00005009609.1	cv-PC 
ENSEBLP00005009615.1	cv-PC 
ENSEBLP00005009619.1	cv-PC 
ENSEBLP00005009625.1	cv-PC 
ENSEBLP00005009665.1	CG2931-PA 
ENSEBLP00005009684.1	CG43088-PA 
ENSEBLP00005009700.1	CG13014-PA 
ENSEBLP00005009732.1	CG8924-PB 
ENSEBLP00005009740.1	CG8924-PB 
ENSEBLP00005009793.1	Sdic2-PB 
ENSEBLP00005009808.1	sing-PA 
ENSEBLP00005009829.1	CG43759-PC 
ENSEBLP00005009837.1	CG43759-PC 
ENSEBLP00005009845.1	Arp10-PB 
ENSEBLP00005009861.1	Mks1-PA 
ENSEBLP00005009914.1	CG44774-PE 
ENSEBLP00005009919.1	CG44774-PE 
ENSEBLP00005009926.1	CG44774-PE 
ENSEBLP00005009963.1	Pdha-PD 
ENSEBLP00005009973.1	Pdha-PD 
ENSEBLP00005009978.1	Pdha-PD 
ENSEBLP00005009993.1	Coa8-PB 
ENSEBLP00005010028.1	CG3009-PB 
